id,game,start,end,gap(sec),prev,comment,subcategory
591,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,36:13:00,36:31:00,11,"Quiero parar un poco en él y subrayarlo porque me encantaría que nos lo repitieran además. Porque ante una buena presión, que es la que está haciendo el Burnley, no es perfecta, pero yo creo que tiene bastante nivel.","El Chelsea ha salido con un simple toque, gracias al dominio del espacio y a la visión y la capacidad para jugar de primera de Sefábregas que con un simple toque ha desarmado una presión entera.",Relevant
2928,england_epl/2014-2015/2015-05-17 - 18-00 Manchester United 1 - 1 Arsenal,5:52,5:57,8,"Lo que en Inglaterra sería también como, si no hecho así bastante probable, la llegada aparte de Memphis Depay que ya ha fichado, de Madhumels. Hablando un poco de los centrales Madhumels.",Se está especulando con la posibilidad de que al final Pogba vuelva.,Irrelevant
6258,england_epl/2015-2016/2015-08-29 - 17-00 Manchester City 2 - 0 Watford,37:57:00,38:03:00,16,Foul by Barame Onigwara. Will he consider this first half a success?,"Well he will, because his team haven't conceded yet.",Relevant
8469,england_epl/2015-2016/2015-09-26 - 17-00 Leicester 2 - 5 Arsenal,10:51,11:00,4,Qui trouve des brèches aussi pour Vardy. Paul Brighton qu'on n'a pas encore vu mais qui a une vraie belle qualité de passe.,D'ailleurs il est passeur 3 fois depuis le début de saison.,Relevant
9362,england_epl/2015-2016/2015-09-26 - 17-00 Liverpool 3 - 2 Aston Villa,31:08:00,31:11:00,2,Лукас. Каутиньо.,Сколько мяч уже держится у футболистов Ливерпуля.,Irrelevant
10362,england_epl/2015-2016/2015-10-17 - 17-00 Chelsea 2 - 0 Aston Villa,28:27:00,28:37:00,2,Nothing much in that one for me. Westwood.,"£50,000 fine being appealed by Jose Mourinho.",Irrelevant
10986,england_epl/2015-2016/2015-10-31 - 15-45 Chelsea 1 - 3 Liverpool,41:34:00,41:50:00,3,Long trip to Russia for Jurgen Klopp and his team. We'll have the tournament Celtic games on Thursday night as well for you.,"DT Sport, that's the place to catch up with all the European action this week, Tuesday, Wednesday and Thursday.",
11004,england_epl/2015-2016/2015-10-31 - 15-45 Chelsea 1 - 3 Liverpool,43:25:00,43:36:00,3,They've already been beaten five times. Last year it was December before they lost a game.,"He is in the tightest spot of his distinguished managerial career, Jose Mourinho.",
13200,england_epl/2015-2016/2015-11-08 - 19-00 Arsenal 1 - 1 Tottenham,38:34:00,38:37:00,2,Es el verdadero drama de este equipo. Ahí había fuera de juego.,Habría sido anulado eso.,
13446,england_epl/2015-2016/2015-11-21 - 20-30 Manchester City 1 - 4 Liverpool,10:48,10:53,4,"He needs to settle himself down. He started the first six Premier League games of the season for City, but only two of the six since then.",It's three out of seven now.,
19904,england_epl/2015-2016/2016-03-19 - 18-00 Chelsea 2 - 2 West Ham,3:49,4:05,5,"Well, that was sharp play, Kennedy's gone a fraction too early, because look at this real rat-a-tat playing there, he's gone early, he's only got to look along the line and he's in, and then he's setting Remy up. Kennedy going a fraction early there, but great one-touch play from Chelsea early on.","Kennedy, the 20-year-old Brazilian who scored the fastest goal in the Premier League this season after just 39 seconds, when Chelsea won at Norwich at the start of this month.",
21110,england_epl/2015-2016/2016-04-09 - 17-00 Swansea 1 - 0 Chelsea,18:41,18:56,5,"Francesco Guidolin's contract runs to June, he says as soon as they are mathematically safe, he will go and knock on Hugh Jenkins' door and ask what is going on with his future and Swansea's future. Brendan Rodgers still a firm favourite to take over here, Chris Coleman's name mentioned as well.","Francesco Guidolin has almost done what he was asked to do, and that is to keep Swansea City in the Premier League.",
30363,england_epl/2016-2017/2016-10-22 - 17-00 Arsenal 0 - 0 Middlesbrough,40:13:00,40:22:00,3,"Соответственно, ошибаться, упуская какие-то зоны. Нет, все очень четко, все очень выстроено.","Если футболист Арсеналу приходит с мячом в какую-либо зону в атаке, там его обязательно ждет один или два футболиста соперника.",
31889,england_epl/2016-2017/2016-10-29 - 17-00 Tottenham 1 - 1 Leicester,42:09:00,42:14:00,4,Wanyama. It's a penalty.,The grappling has gone on throughout the game.,
37404,england_epl/2016-2017/2016-12-27 - 20-15 Liverpool 4 - 1 Stoke City,18:54,19:02,4,"And Kruise yelling for the free kick, and the referee was going to give it anyway. He does really well here, Walters, makes a new some serve.","It's not the greatest ball through, and it should be dealt with by the Liverpool defenders, but they miss it out, and he gets on to it really well.",
39486,england_epl/2016-2017/2017-01-14 - 20-30 Leicester 0 - 3 Chelsea,20:03,20:10,2,Chelsea defence with some difficulty. Managed to hook it away.,And have conceded a couple in both of their last two games in the Premier League.,
44760,europe_uefa-champions-league/2014-2015/2014-11-04 - 22-45 Dortmund 4 - 1 Galatasaray,33:46:00,34:16:00,3,"Kehl in seiner letzten Saison. Er trifft den Inneren am Knöchel, ohne den Ball spielen zu können.","34 ist er, im Februar wird er 35, Sebastian Kehl, aber so richtig führt an ihm kein Weg vorbei.",
44833,europe_uefa-champions-league/2014-2015/2014-11-04 - 22-45 Dortmund 4 - 1 Galatasaray,40:55:00,41:01:00,3,Dann ist es Handspiel. In der Kapitän.,Saisonübergreifend.,
45967,europe_uefa-champions-league/2014-2015/2014-11-05 - 22-45 Ajax 0 - 2 Barcelona,36:06:00,36:21:00,4,Lionel Messi's 70th goal. In Champions League football in 90 matches.,"Just for the record, his last hat-trick in the Champions League was September last season against Ajax.",
58545,europe_uefa-champions-league/2014-2015/2015-04-15 - 21-45 FC Porto 3 - 1 Bayern Munich,37:00:00,37:13:00,2,"Two things, he's not favourite to win the ball, and goes in with the studs up, but if he doesn't win it, then he's almost just making the referee's job that little bit easier for him not to be available next week. That's more problems for Patek in defence.","He's one of the few who's played every minute in the Champions League for Porto so far this season, that will come to an end.",
59327,europe_uefa-champions-league/2014-2015/2015-04-21 - 21-45 Barcelona 2 - 0 Paris SG,24:55:00,25:01:00,4,"Alves, Messi, Verratti, and Messi keeping up the pressure. And it's actually started the game really well, Verratti.",Showboating here with Dani Alves and Lionel Messi.,
64337,europe_uefa-champions-league/2015-2016/2015-09-16 - 21-45 AS Roma 1 - 1 Barcelona,39:33:00,39:41:00,4,"Dinamo Kiev and Porto won a piece, that in Group G. In Group H, Hulk scoring for Zenit away at Valencia. They lead by a goal to nil and it's Gent 0, Lyon 0.",Gent's first ever game in either the European Cup or Champions League.,
66648,europe_uefa-champions-league/2015-2016/2015-09-16 - 21-45 Olympiakos Piraeus 0 - 3 Bayern Munich,7:42,7:48,12,Lewandowski. Hat ja hier sein allererstes Champions-League-Tor geschossen.,Das erste von 23.,
68619,europe_uefa-champions-league/2015-2016/2015-09-29 - 21-45 FC Porto 2 - 1 Chelsea,12:08,12:22,3,"Now Marcano, across to the skipper. Maicon, not to be confused by the rather more famous Brazilian of that name.",Gareth Bale gave a bit of a going-over in those Spurs intermatches a few seasons ago.,
70426,europe_uefa-champions-league/2015-2016/2015-11-03 - 18-00 FC Astana 0 - 0 Atl. Madrid,34:08:00,34:17:00,4,"In his second season, having arrived from Benfica. Eventually filling the void left of course by Thibaut Courtois' return to Chelsea.",And they have only conceded eight goals in 13 games in all competitions this season.,
71664,europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 Manchester United 1 - 0 CSKA Moscow,36:16:00,36:31:00,4,"Mignasiewicz there, and then Wernblum was the player that it canned off, and it will be a Manchester United corner. Really encouraging, though, isn't it?","We saw Rocco then hitting the ball wide, but he's in the six-yard box as a left-back, and Manchester United are getting an awful lot of bodies forward, and if you do that the ball's gonna drop to you at some point.",
